rank,seller_id,nombre,segmento,ml_level,reputacion,turbo,total_mensual,v4_mensual_total,v4_efectivo_zona,flex_zona,xd_zona,pct_cobertura_zona,pct_proximidad,ht_horas,lat,lon,tiene_integrador,tipo_integrador,integrador_nombre,nodos_activos,es_multinodo,v4_eff_acumulado,pct_vol_acum,ord_hr_acum,envios_turbo,peso_mediano_kg,lado_max_med_cm,gmv_prom_brl,pct_within_4km,opera_full
28,40635405,SONNIC SOUND CENTER,Heavy,platinum,5_green,True,6273,96,82,69,13,85.42,1.53,26.33,-23.5539418,-46.5952445,True,certificado,Seconds,0,False,3186,19.45,16.9,26,1,25,372,1.4,true
29,1273190934,NATALIA ALVES DOS SANTOS - VITORIANO SHOPS,Medium,gold,5_green,True,803,102,80,80,0,78.43,12.7,3.68,-23.559964,-46.59557,True,certificado,LojaHub,0,False,3266,19.94,17.3,69,0.33,24,114,10.9,false
30,1415061602,CATHY ELETRONICOS LTDA,Heavy,platinum,5_green,False,5435,99,79,73,6,79.8,1.82,19.97,-23.526307,-46.603923,True,certificado,UpSeller ERP,0,False,3345,20.42,17.7,0,0.81,24,157,2.5,false
31,471662561,LED SUPERMERCADO ELETRONICO LTDA,Heavy,platinum,5_green,False,3133,100,78,70,8,78,3.19,25.25,-23.528599,-46.622537,True,certificado,UpSeller ERP,0,False,3423,20.9,18.1,0,0.13,24,39,2.3,false
32,1425236703,GOREME TECNOLOGIA LTDA,Heavy,platinum,5_green,False,6196,208,77,71,6,37.02,3.36,22.03,-23.537476,-46.637368,True,certificado,UpSeller ERP,0,False,3500,21.37,18.5,0,0.32,26,85,2.8,false
33,1864399874,CAIXAS EMBALAI,Medium,platinum,5_green,False,354,92,76,76,0,82.61,25.99,13.19,-23.5557222,-46.6160856,True,certificado,Log Manager,0,False,3576,21.83,18.9,0,2.3,93,83,17.2,true
34,94475227,QUANTUM NOTES PRODUTOS DE INFORMATICA LTDA,Heavy,platinum,5_green,False,2423,148,75,72,3,50.68,6.11,17.95,-23.5448285,-46.6338237,True,certificado,Log Manager,0,False,3651,22.29,19.3,0,0.29,21,99,6.1,true
35,208115636,KING APPLE,Medium,platinum,5_green,True,1418,199,75,75,0,37.69,14.03,7.68,-23.5432,-46.6374784,True,certificado,MercadoTurbo,0,False,3726,22.75,19.7,65,0.25,33,67,13.2,true
36,2126438938,TRIPOLI IMPORTS,Heavy,platinum,5_green,False,3492,90,74,68,6,82.22,2.58,25.98,-23.547697,-46.61822,True,certificado,UpSeller ERP,0,False,3800,23.2,20.1,0,0.5,29,77,2.4,false
37,343956467,ABEX IMPORTACAO E DISTRIBUICAO DE PECAS LTDA,Heavy,platinum,5_green,True,2617,97,73,72,1,75.26,3.71,16.9,-23.5213765,-46.5906827,True,certificado,Sistema ERP da Olist,0,False,3873,23.64,20.5,26,0.25,19,103,2.9,true
