"item_id","item","unidades_30d","vertical","agg1_ml","agg2_ml","agg3_ml","domain_id"
"3296868671","Kit 3 Cabide Aço Resistente Calça Jeans Guarda Roupa Legging","47","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","ORGANIZATION","CLOTHING ORG","MLB-CLOTHES_HANGERS"
"4169414690","5m Mangueira Led Neon Corte 2,5cm Flex 12v + Fonte Bivolt","47","CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","MLB-LED_STRIPS"
"4101939713","Conjunto Feminino Alfaiataria Blusa Regata Botões E Short","47","FASHION","APPAREL","CLOTHING","SWEATERS AND CARDIGANS","MLB-BLOUSES"
"4161094675","Registro Plastico P/ Filtro De Agua Mangueira 1/4 Rosca 1/2","46","HOME ELECTRONICS","HOUSEHOLD APPLIANCES PARTS","KITCHEN PARTS","HOME APPLIANCES PARTS","MLB-WATER_PURIFIER_AND_FILTER_REPLACEMENT_DIVERTER_VALVES"
"2669978125","Roupa Íntima Plenitud Femme Para Incontinência P/m-16 Un","46","CPG","CPG PERSONAL CARE","ADULT DIAPERS & PADS","ADULT DIAPERS","MLB-ADULT_DIAPERS"
"4187730063","5 Metro Fita Led 2835 12v Ip20 240leds/m 48w/m 3000k Ou6000k Cor Da Luz Branco-neutro 4000k","46","CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","MLB-LED_STRIPS"
"1327969905","Plug Conector Xlr Canon Macho Linha Santo Sa2x Oferta Angelo","46","HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","ELECTRONIC, TOOLS & COMPONENTS","ELECTRONIC COMPONENTS","MLB-AUDIO_AND_VIDEO_CONNECTORS"
"5860636570","Organizador Mesa Escritório D Madeira C/ Preto Mdf Laca Luxo","46","CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","PEN, PENCILS & ACC","MLB-DESK_ORGANIZERS_AND_PENCIL_HOLDERS"
"2850109111","Quadro De Acrílico Para Parede P/ Fotos Ou Folhas A4 Transparente","46","FURNISHING & HOUSEWARE","DECOR","MIRRORS & DECORATIVE ART","MIRRORS & DECORATIVE ART","MLB-DECORATIVE_PAINTINGS"
"3572301065","Creme Dental Sem Flúor Menta E Melaleuca 90g - Boni Natural","46","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","ORAL CARE","MLB-TOOTHPASTES"
"4495990449","2m Barreira Sill De Banheiro Impermeável Da Água Do Chuveiro Branco","46","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","BATHROOM","BATHROOM ACCESSORIES","MLB-NON_SLIP_BATHTUB_APPLIQUES_AND_MATS"
"2806729099","Puxador Para Box E Porta De Vidro Blindex 1629 Banheiro","46","FURNISHING & HOUSEWARE","HOUSEHOLD ITEMS","BATHROOM","BATHROOM ACCESSORIES","MLB-BATHROOM_ACCESSORIES_KITS"
"5295402478","Par De Corrediça Telescópica Reforçada 35cm 45kgs O Par Prateado","46","CONSTRUCTION & INDUSTRY","CONSTRUCTION","DOOR, WINDOW & FENCES","HARDWARE","MLB-FURNITURE_RAILS"
"5653951906","Suporte Porta Celular Corrida Caminha Braçadeira Esporte","46","TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES ACCESSORIES","MLB-CELLPHONE_ACCESSORIES"
"5983960760","Parafuso Chipboard P/ Madeira 3,5x16 Chata - Kit 5.000 Pçs","46","CONSTRUCTION & INDUSTRY","CONSTRUCTION","CONSTRUCTION MATERIALS","CONSTRUCTION MATERIALS FIXING","MLB-SCREWS"
"3226463737","Conversor Adaptador Displayport Para Hdmi 4k 60ghz Com Nfe Preto","46","HOME ELECTRONICS","AUDIO & GENERAL ELECTRONICS","ELECTRONIC, TOOLS & COMPONENTS","ELECTRONIC TOOLS","MLB-AUDIO_AND_VIDEO_CONVERTERS"
"5217014430","Poise Absorvente Escape Urina Noturno Moderado - 8 Unidades","46","CPG","CPG PERSONAL CARE","PERSONAL CARE ESSENTIALS","FEMENINE CARE","MLB-SANITARY_PADS"
"3856266146","Luva Mista Vaqueta Raspa Cano Longo Epi Segurança Reforço Ca","46","CONSTRUCTION & INDUSTRY","INDUSTRY","SAFETY EQUIPMENT","SAFETY EQUIPMENT","MLB-SAFETY_GLOVES"
"4504220639","Adaptador Usb Wifi 600mbps Dual Band 2.4/5ghz","46","TECHNOLOGY","IT APPLIANCES","CONNECTIVITY & NETWORKS","NETWORK CABLES & ACCESSORIES","MLB-NETWORK_CARDS"
"5739585056","Caixa Presente 35x24x10 Premium Chique Branca Kraft E Preta","46","T & B","PARTY","PARTY EQUIPMENT","PARTY MACHINES","MLB-GIFT_BOXES"
"5344160724","Porta Retrato Mesa 10x15 Vidro - Lyor Bege Listras","46","FURNISHING & HOUSEWARE","DECOR","MIRRORS & DECORATIVE ART","MIRRORS & DECORATIVE ART","MLB-PICTURE_FRAMES"
"4219051321","Chumbador Pba Parabolt 3/8 X 5 Pol (9,5x127mm) 25 Peças","46","CONSTRUCTION & INDUSTRY","CONSTRUCTION","CONSTRUCTION MATERIALS","CONSTRUCTION MATERIALS FIXING","MLB-SCREWS"
"3926063026","12 Mini Bolas De Vinil 10 Cm Pequena Futebol Lembrancinhas. Sortido Bola De Futebol","46","T & B","TOYS AND GAMES","SUMMER TOYS & POOLS","BEACH TOYS","MLB-BEACH_BALLS"
"4430118169","Hot Wheels® Fast & Furious 7 Cm, Miniatura Colecionável. Hot Wheels Fast & Furious Multicolor","46","T & B","TOYS AND GAMES","TOY VEHICLES","NON REMOTE CONTROL VEHICLES","MLB-NON_REMOTE_CONTROL_TOY_VEHICLES"
"4992843474","Fita Led 110v/220v Direta 120leds/m Rolo 10m Não Usa Fonte","46","CONSTRUCTION & INDUSTRY","LIGHTING","BULBS & LED STRIPS","BULBS & LED STRIPS","MLB-LED_STRIPS"
"5354980450","Protetor De Colchão Impermeável Casal Matelado Antialérgico Antiácaro Resistente A Líquidos Toque Macio Branco","46","FURNISHING & HOUSEWARE","TEXTILES","BEDROOM TEXTILES","MATTRESSES & SOMMIER COVERS","MLB-MATTRESS_COVERS"
"4831644702","Fita Crepe Para Pintura Sem Residuos 18mm X 50m - 6 Rolos Cor Branco Liso","46","CONSTRUCTION & INDUSTRY","STATIONERY","OFFICE & SCHOOL SUPPLIES","GLUES & TAPES","MLB-ADHESIVE_TAPES"
