"vertical","agg1","agg2","agg3","dominio","unidades","nmv_brl","pct_del_nmv_zona","pct_del_nmv_vertical"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES ACCESSORIES","CELLPHONE_FANS","45","2345","0,002","0,008"
"TECHNOLOGY","CAMERAS & DRONES","STUDIO & LIGHTING","PHOTOGRAPHIC ACCESSORIES","MINI_PHOTOGRAPHIC_STUDIOS","36","2344","0,002","0,008"
"T & B","TOYS AND GAMES","DOLLS","DOLLS PLAY SETS","DOLL_STROLLERS","27","2343","0,002","0,063"
"CONSTRUCTION & INDUSTRY","TOOLS","GARDEN TOOLS","GARDEN SAWS","COMBUSTION_CHAINSAWS","3","2342","0,002","0,012"
"ENTERTAINMENT","MUSICAL INSTRUMENTS","STRING INSTRUMENTS","OTHER STRING INSTRUMENTS & ACCESORIES","STRING_INSTRUMENT_CAPOS","83","2341","0,002","0,096"
"CONSTRUCTION & INDUSTRY","INDUSTRY","SAFETY EQUIPMENT","SAFETY EQUIPMENT","SELF_CONTAINED_BREATHING_APPARATUS","12","2337","0,002","0,012"
"BEAUTY","MAKEUP","MAKEUP KITS AND ACCESSORIES","MAKEUP KITS AND ACCESSORIES","EYELASH_CURLERS","61","2331","0,002","0,024"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","TACTICAL_GLOVES","50","2328","0,002","0,065"
"SPORTS","INDOOR SPORTS","GYM","GYM ACCESORIES","AGILITY_RINGS_AND_LADDERS","45","2326","0,002","0,065"
"CPG","PET","PET HOUSES, TOYS & FASHION","PET HOUSE EQUIPMENT","AQUARIUM_WAVE_MAKERS","28","2322","0,002","0,019"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS STEERING & SUSPENSION","PERFORMANCE_SUSPENSION_KITS","4","2321","0,002","0,028"
"SPORTS","CYCLING AND OTHERS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLE_CHAINRINGS","33","2321","0,002","0,065"
"CPG","PET","PET HOUSES, TOYS & FASHION","PET HOUSES","BIRD_NESTS","58","2320","0,002","0,019"
"BEAUTY","BEAUTY PROFESSIONAL","MANICURE & PEDICURE","MANICURE ACCESSORIES & EQUIPMENTS","NAIL_RHINESTONES","92","2320","0,002","0,024"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS ACCESSORIES","CARS & VANS ACCESSORIES EXTERIOR","VEHICLE_TRANSMISSION_TEMPERATURE_GAUGES","51","2318","0,002","0,028"
"HOME ELECTRONICS","SMALL APPLIANCES","KITCHEN","MEAL & DRINK MAKERS","CHOCOLATE_WATERFALLS","13","2312","0,002","0,035"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS STEERING & SUSPENSION","VEHICLE_DRIVE_SHAFTS","18","2311","0,002","0,028"
"CONSTRUCTION & INDUSTRY","TOOLS","MANUAL TOOLS","PLIERS","ANTI_STATIC_PLIERS","111","2311","0,002","0,012"
"T & B","BABY","BABY BEDROOM","BABY BEDROOM ACCESSORIES","BREASTFEEDING_PILLOWS","42","2307","0,002","0,062"
"BEAUTY","BEAUTY PROFESSIONAL","MANICURE & PEDICURE","MANICURE ACCESSORIES & EQUIPMENTS","NAIL_POLISH_TROLLEYS","18","2303","0,002","0,024"
"TECHNOLOGY","CAMERAS & DRONES","DRONES, PARTS & ACCESSORIES","DRONES, PARTS & ACCESSORIES","DRONE_BATTERY_CHARGERS","15","2288","0,002","0,008"
"CONSTRUCTION & INDUSTRY","TOOLS","MANUAL TOOLS","CUTTING AND ROUGHING","AXES","39","2283","0,002","0,011"
"BEAUTY","BEAUTY PROFESSIONAL","MANICURE & PEDICURE","MANICURE ACCESSORIES & EQUIPMENTS","SCULPTURED_NAIL_FORMS","71","2283","0,002","0,024"
"SPORTS","OTHER SPORTS","SPORTS SHOOTING AND ARCHERY","SHOOTING","AIRSOFT_GUN_REPLACEMENT_SPRINGS","33","2282","0,002","0,064"
"FURNISHING & HOUSEWARE","FURNITURE","STORAGE FURNITURE","CABINETS & LOCKERS","OFFICE_STORAGE_CABINETS","19","2280","0,002","0,02"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","MONITORS & ACCESSORIES","MONITORS ACCESSORIES & PARTIES","TV_AND_MONITOR_COVERS","50","2280","0,002","0,008"
"VEHICLE PARTS & ACCESSORIES","ACC TIRES","OTHER ACC TIRES","OTHER ACC TIRES","VEHICLE_TIRES_AND_WHEELS","25","2279","0,002","0,027"
"CONSTRUCTION & INDUSTRY","INDUSTRY","OFFICE EQUIPMENT","OFFICE EQUIPMENT","PROXIMITY_CARDS","47","2273","0,002","0,011"
"VEHICLE PARTS & ACCESSORIES","ACC TIRES","OTHER ACC TIRES","OTHER ACC TIRES","SCOOTER_TIRE_INNER_TUBES","65","2272","0,002","0,027"
"CONSTRUCTION & INDUSTRY","INDUSTRY","GASTRONOMY & HOSPITALITY","GASTRONOMY & HOSPITALITY","ELECTRIC_CHURRO_MAKING_MACHINES","28","2272","0,002","0,011"
"HEALTH","HEALTH GOODS","PHARMACY ARTICLES","PHARMACY ARTICLES","CONDUCTIVE_GELS","56","2270","0,002","0,027"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","CONSTRUCTION MACHINERY & ACC","STAIRS AND BALCONIES RAILS","STAIRS_AND_BALCONIES_RAILS","45","2269","0,002","0,011"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","MEDICAL SPECIALIZED EQUIPMENT","MEDICAL_HOSES","52","2269","0,002","0,027"
"T & B","TOYS AND GAMES","ACTION FIGURES","ACTION FIGURES","INTERACTIVE_GAMING_FIGURES","17","2267","0,002","0,061"
"CONSTRUCTION & INDUSTRY","TOOLS","POWER TOOLS","CUTTING","PLASMA_CUTTERS","9","2266","0,002","0,011"
"VEHICLE PARTS & ACCESSORIES","ACC MOTORCYCLES","MOTORCYCLE REPLACEMENT PARTS","MOTORCYCLE BODYWORK","MOTORCYCLE_GASOLINE_TANK_CAPS","56","2265","0,002","0,027"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_FRAMES","21","2263","0,002","0,027"
"CONSTRUCTION & INDUSTRY","SECURITY","DOOR AND GATE AUTOMIZATION","DOOR AND GATE AUTOMIZATION","GATE_GEAR_RACKS","56","2260","0,002","0,011"
"CPG","FOODS","FRESH FOOD","FROZEN FOOD","ICE_CREAM_AND_FROZEN_DESSERTS","90","2260","0,002","0,019"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","PARTS COMPONENTS","PC COMPONENTS","HEAT_SINKS","53","2260","0,002","0,008"
"CONSTRUCTION & INDUSTRY","TOOLS","MEASURING TOOLS","AMBIENT","LIGHT_METERS","10","2257","0,002","0,011"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES PARTS","CELLPHONE_REPLACEMENT_CAMERAS","157","2256","0,002","0,008"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","TACTICAL_SLINGS","38","2251","0,002","0,063"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_TRANSMISSION_VALVE_BODIES","4","2249","0,002","0,027"
"TECHNOLOGY","IT PERIPHERALS, PARTS & ACCESSORIES","STORAGE","DISCS & ACCESSORIES","HARD_DRIVES_AND_SSDS_CADDIES","105","2249","0,002","0,008"
"CPG","PET","PET ACCESSORIES","FEEDERS","AQUARIUM_AUTOMATIC_FEEDERS","31","2248","0,002","0,019"
"SPORTS","MOUNTAIN & OUTDOORS","CAMPING","GEAR & EQUIPMENT","BUTANE_GAS_CARTRIDGES","35","2247","0,002","0,063"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS REPLACEMENT PARTS","CARS & VANS OTHERS","VEHICLE_ENGINE_COOLING_FAN_CLUTCHES","17","2246","0,002","0,027"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","PLUMBING","PLUMBING PUMPS","HAND_DRAIN_PUMPS","64","2245","0,002","0,011"
"BEAUTY","BEAUTY PROFESSIONAL","ESTHETIC","ELECTRIC ESTHETIC TOOLS","BLACKHEAD_MANUAL_REMOVERS","106","2241","0,002","0,023"
"SPORTS","CYCLING AND OTHERS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLES ACCESORIES AND SPARE PARTS","BICYCLE_BRAKE_LEVERS","46","2229","0,002","0,063"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","MEDICAL SPECIALIZED EQUIPMENT","OPTICAL_INSTRUMENTS","37","2224","0,002","0,027"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","CONSTRUCTION MACHINERY & ACC","TRUCKS & WHEELBARROWS","HAND_AND_PLATFORM_TRUCKS","14","2221","0,002","0,011"
"SPORTS","MOUNTAIN & OUTDOORS","FISHING","FISHING_GEAR_AND_ACCESSORIES","FISHING_ROD_CASES","40","2220","0,002","0,062"
"VEHICLE PARTS & ACCESSORIES","ACC CARS & VANS","CARS & VANS ACCESSORIES","CARS & VANS ACCESSORIES EXTERIOR","VEHICLE_BICYCLE_CARRIERS","27","2218","0,002","0,027"
"HEALTH","MEDICINES","PRESCRIPTION MEDICINES","PRESCRIPTION MEDICINES","RX_RESPIRATORY_MEDICINES","56","2216","0,002","0,027"
"ENTERTAINMENT","MUSICAL INSTRUMENTS","WIND INSTRUMENTS","TRUMPETS, TROMBONES & SIMILARS","TRUMPETS","8","2212","0,002","0,09"
"CPG","FOODS","COOKIES & SNACKS","SNACKS","SALTY_PREMIXES","86","2212","0,002","0,018"
"HEALTH","HEALTH GOODS","HEALTH PROFESSIONAL","MEDICAL SPECIALIZED EQUIPMENT","TEST_TUBE_RACKS","60","2211","0,002","0,027"
"CONSTRUCTION & INDUSTRY","CONSTRUCTION","ELECTRICAL","CORRUGATED PIPE & CABLE COVERS","CORRUGATED_PIPES","55","2195","0,002","0,011"
"BEAUTY","BEAUTY PROFESSIONAL","BEAUTY SALOON","SALOON TOOLS","SHAVING_BRUSHES","65","2194","0,002","0,023"
"FURNISHING & HOUSEWARE","FURNITURE","OFFICE FURNITURE","DESKS & OFFICE CHAIRS","HOME_OFFICE_DESKS","12","2188","0,002","0,019"
"OTHERS","OTHER","OTHER","OTHER","HOOKAH_BOWLS","68","2188","0,002","0,391"
"FURNISHING & HOUSEWARE","HABERDASHERY","HABERDASHERY","HABERDASHERY","HABERDASHERY_STUDS","63","2187","0,002","0,019"
"CONSTRUCTION & INDUSTRY","INDUSTRY","COMMERCE EQUIPMENT","COMMERCE EQUIPMENT","QUEUE_STANCHIONS","10","2186","0,002","0,011"
"CONSTRUCTION & INDUSTRY","HOME OUTDOORS","POOL, HOT TUBES & SAUNA","POOL INFRASTRUCTURE","POOL_VALVES","24","2184","0,002","0,011"
"SPORTS","OTHER SPORTS","HUNTING","HUNTING","SLINGSHOTS","81","2183","0,002","0,061"
"BEAUTY","BEAUTY PROFESSIONAL","MANICURE & PEDICURE","MANICURE ACCESSORIES & EQUIPMENTS","NAIL_STICKERS","53","2179","0,002","0,023"
"TECHNOLOGY","SMARTPHONES & TABLETS","SMARTPHONES PARTS & ACCESSORIES","SMARTPHONES PARTS","CELLPHONE_CAMERA_REPLACEMENT_LENSES","120","2179","0,002","0,007"
